,pmid,doi_from_pubmed,year,authors,abstract,reference_code,doi_from_Robert,reference_code_in_online_database
38,2997186,,1985,"Lee C S, O'Sullivan W J","The diastereomers of adenosine 5'-O-(1-thiotriphosphate) (ATP alpha S), adenosine 5'-O-(2-thiotriphosphate) (ATP beta S), and adenosine 5'-O-(3-thiotriphosphate) (ATP gamma S) could act as substrates for phosphomevalonate kinase in the presence of Mg2+ and Cd2+ as activating divalent metal cations. The Sp diastereomer of ATP alpha S was the preferred substrate regardless of the metal ion used, consistent with the metal ion not binding to the alpha-phosphate. With ATP beta S, the Sp diastereomer was the preferred substrate with Mg2+, and the Rp diastereomer was the preferred substrate with Cd2+. The reversal of specificity establishes that the metal is chelated through the beta-phosphate in the active site of the phosphomevalonate kinase reaction. A comparison of the Vmax values as a function of substitution of oxygen by sulfur showed the order for Mg2+ to be: ATP greater than ATP alpha S(Sp) greater than ATP alpha S(Rp) greater than ATP beta S(Sp) greater than ATP gamma S greater than ATP beta S(Rp). With Cd2+ as the activating metal ion, the order was: ATP greater than ATP alpha S(Sp) greater than ATP alpha S(Rp) greater than ATP beta S(Rp) greater than ATP gamma S greater than ATP beta S(Sp). It is concluded that the chelate structure of metal ATP substrate in the phosphomevalonate kinase reaction is the delta, beta, gamma-bidentate complex. 31P NMR measurements and radioassay with [2-14C] phosphomevalonate were used to measure the equilibrium of the reaction catalyzed by phosphomevalonate kinase with ATP and phosphorothioate analogues of ATP as the phosphoryl group donor. The order as a phosphate donor as determined by both methods in the phosphomevalonate kinase reaction is ATP beta S greater than ATP alpha S greater than ATP greater than ATP gamma S. Except for ATP gamma S, the equilibrium is shifted in the direction of formation of ADP alpha S and ADP beta S relative to ADP formation. Thus, ATP beta S rather than ATP would be effective for the synthesis of diphosphomevalonate. The phosphomevalonate kinase reaction could also be used to synthesize mevalonate 5-(2-thiodiphosphate) using ATP gamma S as the phosphoryl group donor.",85LEE/OSU,,85LEE/OSU_632
39,4092075,,1985,"Das Y T, Brown H D, Chattopadhyay S K","Direct microcalorimetric measurements were made of the reaction between acetylcholine chloride and acetylcholinesterase (EC 3.1.1.7) that was extracted from electric eel (Electrophorus electricus) and purified by affinity chromatography. Tris-HCl, sodium phosphate and potassium phosphate were used as buffers and sources of ions for the reaction. At pH 7.2 and in 0.1-0.2 M phosphate buffer, the delta H for acetylcholine hydrolysis was found to be -0.107 kcal/mol (under buffered conditions) and -0.931 kcal/mol under unbuffered conditions (water). At pH 8.0 in 0.1 M Tris-HCl buffer, values greater than -2.5 kcal/mol were obtained, with the highest value of -9.2 kcal/mol being seen with bovine erythrocyte acetylcholinesterase. Tris-HCl buffer at 4 X 10(-2) M enhanced the reaction velocity by 51.2% over that of 4 X 10(-3) M buffer. Enzyme purity, pH and ionic milieu of reaction mixture, and substrate concentration affected the measured delta H value.",85DAS/BRO,10.1016/0301-4622(85)80068-5,85DAS/BRO_746
40,3933423,,1985,"Wiesinger H, Hinz H J","The intrinsic enthalpy changes (corrected for hydration of D-glyceraldehyde 3-phosphate) for the reactions catalyzed by the alpha and beta 2 subunits of tryptophan synthase from Escherichia coli have been determined calorimetrically. Cleavage of indoleglycerol phosphate (alpha reaction) was found to be associated with a delta H value of 54.0 +/- 2.5 kJ mol-1, while condensation of indole with L-serine (beta reaction) involved -80.3 +/- 4.6 kJ mol-1'. By direct determination of the enthalpy concomitant with the overall synthesis of tryptophan from indoleglycerol phosphate and L-serine an enthalpy value of -13.4 +/- 5.6 kJ mol-1 was observed. In view of the uncertainties of the literature data used for calculation of the hydration contribution, the agreement between the directly measured delta H value of the overall reaction and the sum of the enthalpies of the alpha and beta reactions is fair. Deamination of L-serine, a side reaction catalyzed preferentially by the isolated beta 2 pyridoxal 5'-phosphate2 subunit, was shown to be associated with an enthalpy change of -7.3 +/- 0.4 kJ mol-1.",85WIE/HIN,10.1016/0003-9861(85)90228-0,85WIE/HIN_1187
41,4052045,,1985,"Hershfield M S, Aiyar V N, Premakumar R, Small W C","S-Adenosylhomocysteine hydrolase (EC 3.3.1.1) was purified to homogeneity from human placenta by using S-adenosylhomocysteine-agarose affinity chromatography. The enzyme is a tetramer with a native Mr of 189 000 and subunit Mr of 47 000-48 000; there were nine cysteine residues per subunit and no disulphide bonds. The pI was 5.7. H.p.l.c. analysis revealed that the enzyme contained four molecules of tightly bound cofactor (NAD) per tetramer, of which 10-50% was in the reduced form. The enzyme had four binding sites per tetramer for adenosine, of which 10-35% were found to be occupied. Two types of adenosine-binding sites could be distinguished on the basis of differences in rates of dissociation of the enzyme-adenosine complex, and by examining binding of adenosine at 0 degree C and 37 degrees C. The enzyme catalysed the interconversion of adenosine and 4',5'-dehydroadenosine; the equilibrium constant for this reaction was 2.1 and favoured 4',5'-dehydroadenosine formation. Variability in the specific activity of preparations of S-adenosylhomocysteine hydrolase was related to the NAD+/NADH ratio of the preparation. The capacity to bind radioactively labelled adenosine depended on the adenosine content of the purified enzyme. The rate of adenosine binding and the sensitivity of S-adenosylhomocysteine hydrolase to inactivation by adenosine were both diminished in the absence of dithiothreitol.",85HER/AIY,10.1042/bj2300043,85HER/AIY_952
42,4052575,,1985,"Gajewski E, Goldberg R N, Steckler D K","The thermodynamics of the conversion of aqueous fumarate to L-(-)-malate has been investigated using both heat conduction microcalorimetry and a gas chromatographic method for determining equilibrium constants. The reaction was carried out in aqueous Tris-HCl buffer over the pH range 6.3-8.0, the temperature range 25-47 degrees C, and at ionic strengths varying from 0.0005 to 0.62 mol kg-1. Measured enthalpies and equilibrium ratios have been adjusted to zero ionic strength and corrected for ionization effects to obtain the following standard state values for the conversion of aqueous fumarate 2- to malate 2- at 25 degrees C: K = 4.20 +/- 0.05, delta G degrees = -3557 +/- 30 J mol-1, delta H degrees = -15670 +/- 150 J mol-1, and delta C degrees p = -36 +/- J mol-1 K-1. Equations are given which allow one to calculate the combined effects of pH and temperature on equilibrium constants and enthalpies of this reaction.",85GAJ/GOL,10.1016/0301-4622(85)80042-9,85GAJ/GOL_1154
43,3931718,,1985,"Tewari Y B, Goldberg R N","The thermodynamics of the equilibria between aqueous ribose, ribulose, and arabinose were investigated using high-pressure liquid chromatography and microcalorimetry. The reactions were carried out in aqueous phosphate buffer over the pH range 6.8-7.4 and over the temperature range 313.15-343.75 K using solubilized glucose isomerase with either Mg(NO3)2 or MgSO4 as cofactors. The equilibrium constants (K) and the standard state Gibbs energy (delta G degrees) and enthalpy (delta H degrees) changes at 298.15 K for the three equilibria investigated were found to be: ribose(aq) = ribulose(aq) K = 0.317, delta G degrees = 2.85 +/- 0.14 kJ mol-1, delta H degrees = 11.0 +/- 1.5 kJ mol-1; ribose(aq) = arabinose(aq) K = 4.00, delta G degrees = -3.44 +/- 0.30 kJ mol-1, delta H degrees = -9.8 +/- 3.0 kJ mol-1; ribulose(aq) = arabinose(aq) K = 12.6, delta G degrees = -6.29 +/- 0.34 kJ mol-1, delta H degrees = -20.75 +/- 3.4 kJ mol-1. Information on rates of the above reactions was also obtained. The temperature dependencies of the equilibrium constants are conveniently expressed as R in K = -delta G degrees 298.15/298.15 + delta H degrees 298.15[(1/298.15)-(1/T)] where R is the gas constant (8.31441 J mol-1 K-1) and T the thermodynamic temperature.",85TEW/GOL2,10.1016/0301-4622(85)80043-0,85TEW/GOL2_1378
44,3158649,,1985,"Fagan M H, Dewey T G","The steady state kinetics of calcium transport driven by ATP hydrolysis and ATP synthesis catalyzed by purified, reconstituted calcium ATPase has been investigated as a function of the transmembrane calcium gradient. Purified calcium ATPase was reconstituted into phospholipid vesicles enabling control of the transmembrane calcium gradient. Calcium transport was monitored spectrophotometrically by the calcium indicator, Arsenazo III. Thus, only the enzymatic activity of coupled transport was measured. It was shown under conditions of low external calcium that ATP hydrolysis and synthesis follow simple Michaelis-Menten kinetics and that Michaelis constants obtained for both processes appear independent of the calcium gradient. The maximum velocities for both hydrolysis and synthesis strongly depend on the transmembrane calcium gradient. Based on these results, a mechanism is proposed in which a random addition of substrates for ATP synthesis is followed by random release of ATP and calcium. By measuring the ATP hydrolysis and synthesis under identical conditions, determination of the equilibrium constant for ATP hydrolysis as a function of the transmembrane calcium gradient was possible. Our results indicate that the thermodynamics of the catalytic cycle can be totally accounted for by the energetics of transport of 2.2 +/- 0.3 calciums and the hydrolysis of 1 ATP. An equilibrium constant for ATP hydrolysis in the absence of a calcium gradient was determined to be 4.0 X 10(4).",85FAG/DEW,,85FAG/DEW_1080
45,3994979,,1985,"Srinivasan R, Fisher H F","The glutamate dehydrogenase catalyzed reduction of delta 1-pyrroline-2-carboxylic acid (PCA; an alpha-imino acid) with reduced nicotinamide adenine dinucleotide phosphate (NADPH) to give L-proline and NADP+ is employed as a model for the redox step of the corresponding enzyme-catalyzed reductive amination of alpha-ketoglutarate. We demonstrate the reversibility of the model reaction and measure its equilibrium constant. The pH profiles for the model reactions show that the active substrates are the N-protonated imino acid in one direction and the proline anion with a neutral amino group in the other. The V/K value for the imino acid reduction is enhanced by a group Z of pK = 8.6 in the enzyme-NADPH complex, while that for the proline reaction is unaffected by any such group in the enzyme-NADP+ complex. The following conclusions emerge from a comparison of the pH dependence of the rates for the model reactions with that for the oxidative deamination of L-glutamate [Rife, J. E., & Cleland, W. W. (1980) Biochemistry 19, 2328]. The N-protonated form of alpha-iminoglutarate and the conjugate base of glutamate are the active substrates. The redox step is not sensitive to the protonation state of the groups that catalyze the hydrolysis of bound alpha-iminoglutarate. The group Z, which facilitates the PCA reaction, plays no role in the binding of alpha-ketoglutarate. We propose a chemical mechanism for the glutamate reaction where an unprotonated enzyme group of pK = 5.2 in enzyme-NADPH catalyzes the conversion of the alpha-iminoglutarate to the carbinolamine.(ABSTRACT TRUNCATED AT 250 WORDS)",85SRI/FIS,10.1021/bi00324a012,85SRI/FIS_293
46,3966792,,1985,"Cook L, Prasad M R, Vieth R, Cinti D L","The ability of 0.4 M KCl to extract over 80% of a short-chain beta-hydroxyacyl-CoA dehydrase from rat hepatic endoplasmic reticulum, while more than 80% of the long-chain beta-hydroxyacyl-CoA dehydrase component of the fatty acid chain elongation system remains intact, confirms the existence of more than one hepatic microsomal dehydrase. Following extraction from the microsomal membrane, the short-chain dehydrase undergoes, at least, a two-fold activation. Employing even-numbered trans-2-enoyl-CoA substrates ranging in carbon chain length from 4 to 16, the highest dehydrase specific activity of 16 mumol min-1 mg protein-1 was obtained with trans-2-hexenoyl-CoA; crotonyl-CoA was the second most active substrate, followed by 8 greater than 10 greater than 12 greater than 14 greater than 16. The specific activity of the short-chain dehydrase with trans-2-hexadecenoyl-CoA (C-16) was only 3% of that observed with the trans-2-hexenoyl-CoA. With crotonyl-CoA or beta-hydroxybutyryl-CoA as substrates, HPLC was employed to identify the products, beta-hydroxybutyryl-CoA, of the hydration reaction, or crotonyl-CoA, of the reverse dehydration reaction. It was also observed that the short-chain dehydrase catalyzed the formation of both D(-) and L(+) stereoisomers of beta-hydroxybutyryl-CoA. The equilibrium constant for the dehydrase-catalyzed reaction determined at pH 7.4 and 35 degrees C, was calculated to be 6.38 X 10(-2) M-1, while the standard free energy change was -775 cal/mol, results similar to those obtained with crystalline crotonase. Finally, based on membrane fraction marker enzymes, substrate specificity, and heat lability of the dehydrase, it was concluded that the microsomal membrane contains a short-chain beta-hydroxyacyl-CoA dehydrase which is separate from the mitochondrial crotonase.",85COO/PRA,10.1016/0003-9861(85)90602-2,85COO/PRA_1203
47,527937,,1979,"Pirzer P, Lill U, Eggerer H","1) A new enzyme, 2,3-dimethylmalate lyase, was purified from Clostridium barkeri to about 80% homogeneity. Some of the properties of the enzyme are described. 2) It is shown that the 2,3-dimethylmalic acid (m.p. 143 degrees C) described in the literature represents only one racemic pair. This pair is not attacked by 2,3-dimethylmalate lyase. 3) The isolation of both racemic pairs of 2,3-dimethylmalic acid is described. Half of one pair, m.p. 104-106 degrees C, was converted to propionate and pyruvate by 2,3-dimethylmalate lyase. 4) In combination with earlier work performed by E.R. Stadtman and coworkers the results given under points 1--3 establish 2,3-dimethylmalate as an intermediate in the degradation of nicotinic acid by C. barkeri. 5) Experimental evidence indicates the 2,3-dimethylmalate lyase is no acyl-S-enzyme and that it is different in this respect as well as in quaternary structure from the apparently related enzymes citrate lyase and citramalate lyase.",79PIR/LIL,10.1515/bchm2.1979.360.2.1693,79PIR/LIL_1137
48,500017,,1979,"Schmid F X, Hinz H J",,79SCH/HIN,,79SCH/HIN_108
49,447732,,1979,"Cornell N W, Leadbetter M, Veech R L",,79COR/LEA,,79COR/LEA_586
50,36398,,1979,"Lawson J W, Veech R L","The observed equilibrium constants (Kobs) of the creatine kinase (EC 2.7.3.2), myokinase (EC 2.7.4.3), glucose-6-phosphatase (EC 3.1.3.9), and fructose-1,6-diphosphatase (EC 3.1.3.11) reactions have been determined at 38 degrees C, pH 7.0, ionic strength 0.25, and varying free magnesium concentrations. The equilibrium constant (KCK) for the creatine kinase reaction defined as: KCK = [sigma ATP] [sigma creatine] divided by ([sigma ADP] [sigma creatine-P] [H+]) was measured at 0.25 ionic strength and 38 degrees C and was shown to vary with free [Mg2+]. The value was found to be 3.78 x 10(8) M-1 at free [Mg2+] = 0 and 1.66 x 10(9) M-1 at free [Mg2+] = 10(-3) M. Therefore, at pH 7.0, the value of Kobs, defined as Kobs = KCK[H+] = [sigma ATP] [sigma creatine] divided by ([sigma ADP] [sigma creatine-P] was 37.8 at free [Mg2+] = 0 and 166 at free [Mg2+] = 10(-3) M. The Kobs value for the myokinase reaction, 2 sigma ADP equilibrium sigma AMP + sigma ATP, was found to vary with free [Mg2+], being 0.391 at free [Mg2+] = 0 and 1.05 at free [Mg2+] = 10(-3) M. Taking the standard state of water to have activity equal to 1, the Kobs of glucose-6-P hydrolysis, sigma glucose-6-P + H2O equilibrium sigma glucose + sigma Pi, was found not to vary with free [Mg2+], being 110 M at both free [Mg2+] = 0 and free [Mg2+] = 10(-3) M. The Kobs of fructose-1,6-P2 hydrolysis, sigma fructose-1,6-P2 equilibrium sigma fructose-6-P + sigma Pi, was found to vary with free [Mg2+], being 272 M at free [Mg2+] = 0 and 174 M at free [Mg2+] = 0.89 x 10(-3) M.",79LAW/VEE,,79LAW/VEE_651
51,375973,,1979,"Byers L D, She H S, Alayoff A","The glycolytic enzyme glyceraldehyde-3-phosphate dehydrogenase catalyzes the oxidative phosphorylation of D-glyceraldehyde 3-phosphate. A variety of phosphonates have been shown to substitute for phosphate in this reaction [Gardner, J. H., & Byers, L. D., (1977) J. Biol. Chem. 252, 5925--5927]. The dependence of the logarithm of the equilibrium constant for the reaction on the pKa2 value of the phosphonate is characterized by a Brłnsted coefficient, betaeq, of approximately 1. This represents the sensitivity of the transfer of the phosphoglyceroyl group between the active-site sulfhydryl residue (in the acyl-enzyme intermediate) and the acyl acceptor on the basicity of the acyl acceptor. Molybdate (MoO42-) can also serve as an acyl acceptor in the glyceraldehyde-3-phosphate dehydrogenase catalyzed reaction. The second-order rate constant for the reaction with molybdate is only approximately 12 times lower than the reaction with phosphate even though the pKa2 of molybdate is 3.1 units lower than the pKa2 of phosphate. The immediate product of the molybdate reaction is the acyl molybdate, 1-molybdo-3-phosphoglycerate. The acyl molybdate, like the acyl arsenate (the immediate product of the reaction when arsenate is the acyl acceptor), is kinetically unstable. At pH 7.3 (25 degrees C), the half-life for hydrolysis of the acyl molybdate, or the acyl arsenate, is less than 2.5 s. Thus, hydrolysis of 1-molybdo- and 1-arseno-3-phosphoglycerate is at least 2000 times faster than hydrolysis of 1,3-diphosphoglycerate under the same conditions. Glyceraldehyde-3-phosphate dehydrogenase has a fairly broad specificity for acyl acceptors. Most tetrahedral oxy anions tested are substrates for the enzyme (except SO4(2-) and SeO4(2-)). Tetrahedral monoanions such as ReO4- and GeO(OH)3- are not substrates but do bind to the enzyme. These results suggest the requirement of at least one anionic site on the acyl acceptor required for binding and another anionic group on the acyl receptor required for nucleophilic attack on the acyl enzyme.",79BYE/SHE,10.1021/bi00579a006,79BYE/SHE_255
52,475389,,1979,"Kimball D F, Peterson L, McLoughlin D J, Wolfe R G",,79KIM/PET,10.1016/0003-9861(79)90327-8,79KIM/PET_143
53,429312,,1979,"Nageswara Rao B D, Kayne F J, Cohn M",,79RAO/KAY,,79RAO/KAY_566
54,218950,,1979,"Victor J, Greenberg L B, Sloan D L",,79VIC/GRE,,79VIC/GRE_482
55,231463,,1979,"Labadie M, Debord J, Breton J C","A ""Batch"" microcalorimeter is used at 30 degrees C for the study of the hydrolysis of 4-nitro-phenylphenylphosphonate with a calf-intestinal phosphonate esterase, in a tris buffer, pH 8. The yield of enzymatic hydrolysis is estimated by spectrophotometric determination of the p--nitrophenol evolved; we have then calculated the apparent molar enthalph of the reaction. (delta Happ = -72,2 kj. mol-1). Phenylphosphonic acid, the second reaction product, is not transphosphonylated on tris. The second acidity of phenylphosphonic acid was studied at 30 degrees C by sodium hydroxide electrotitration (pKa2 = 7,13) and by ""Flow"" microcalorimetry (delta Hionization = 19,8 kj.mol-1). In the same manner at 30 degrees C, we measured the heat of ionization of p-nitrophenol (delta Hionization = 26,75 kj.mol-1). These findings allow a calculation for the actual heat of hydrolysis of 4-nitro-phenyl-phenylphosphonate (delta Hrho = -29,7 kj.mol-1).",79LAB/DEB,10.1016/S0300-9084(80)80264-1,79LAB/DEB_795
56,30336,,1978,"Christopherson R I, Matsuura T, Jones M E",,78CHR/MAT,10.1016/0003-2697(78)90745-5,78CHR/MAT_1038
57,204656,,1978,"Lynn R, Guynn R W",,78LYN/GUY,,78LYN/GUY_666
58,639798,,1978,"van der Meer R, Akerboom T P, Groen A K, Tager J M",,78MEE/AKE,10.1111/j.1432-1033.1978.tb12183.x,78MEE/AKE_585
59,203583,,1978,"Nageswara Rao B D, Cohn M, Noda L",,78RAO/COH,,78RAO/COH_650
60,623877,,1978,Subramanian S,The enthalpy change for the oxidative deamination of glutamate by NADP+ catalyzed by bovine liver glutamate dehydrogenase has been determined calorimetrically. The deltaH0 values are 64.6 +/- 1.2 kJ/mol and 70.3 +/- 1.2 kJ/mol at 25 and 35 degrees C respectively. The equilibrium constants for the reaction at the two temperatures were determined spectrophotometrically. This enabled the determination of deltaG0 and deltaS0 of the reaction as well. deltaH0 values were also determined for the reaction using an alternative coenzyme and the deuterated substrate.,78SUB,10.1016/0301-4622(78)85013-3,78SUB_285
61,925000,,1977,"Traut T W, Jones M E",,77TRA/JON,,77TRA/JON_481
62,201249,,1977,"Apps D K, Nairn A C","The reversibility of the NAD+ kinase reaction was established, and the kinetic parameters of the rate equation in the reverse direction were determined. The equilibrium constant of the reaction was determined by using the purified pigeon liver enzyme and radioactively labelled nicotinamide nucleotides. The relationship between kinetic parameters of the forward and reverse reactions is in reasonable agreement with the measured equilibrium constant. As expected from the proposed mechanism of action, the enzyme does not catalyse isotope exchange between NAD+ and NADP+ in the absence of ADP and ATP. Although homogeneous as judged by polyacrylamide-gel electrophoresis, the enzyme preparation exhibits ADP/ATP isotope-exchange activity which could not be separated from NAD+ kinase activity, but kinetic evidence suggests that this is probably due to a contaminant.",77APP/NAI,10.1042/bj1670087,77APP/NAI_556
63,36553,,1977,"Antonov V K, Ginodman L M, Gurova A G","The rate constants of the individual steps of the reversible chymotryptic hydrolysis of N-acetyl-L-phenylalanylglycinamide and methyl N-acetyl-L-phenylalaninate have been calculated on the basis of data on the velocity of the exchange between these substrates and products of their hydrolysis at equilibrium and also on the basis of steady-state kinetics of their cleavage. This was done for peptide substrate at pH 5.5, 7.3 and 8.2 and for ester substrate at pH 5.5. The free energy of the formation of intermediate complexes and free energy of activation were calculated. Thus a complete kinetic and thermodynamic description of chymotryptic catalysis of various pH is performed.",77ANT/GIN,,77ANT/GIN_964
64,18103,,1977,"Sramek S J, Frerman F E",,77SRA/FRE,10.1016/0003-9861(77)90496-9,77SRA/FRE_722
65,836801,,1977,"Schimerlik M I, Cleland W W","A number of dead-end inhibitors and alternate substrates were examined to gain an understanding of the substrate specificity and mechanism of malic enzyme. Comparison of Ki values for competitive inhibitors suggested that binding of the l-carboxyl of L-malate is by ion pairing with lysine or arginine, while binding of the 4-carboxyl is weaker, and probably of the induced-dipolar type. The 2-hydroxyl hydrogen bonds to a catalytic group, which, when it is protonated, adsorbs the keto form of oxalacetate. Since the only molecule other than L-malate that is oxidized is L-malate-beta-amide, carbon 4 must be trigonal for substrate activity, although a tetrahedral carbon bearing one or two hydroxyl groups gives good binding. Hydroxy groups at carbon 3 contribute to binding, but prevent substrate activity. Hydroxy and ketomalonates are bound more strongly than any of the four carbon acids, suggesting that the latter are bound with some strain. In inhibition studies, pyruvate analogues were competitive vs. pyruvate but noncompetitive vs. malate, while malate analogues were competitive vs. malate and noncompetitive vs. pyruvate. These compounds thus bind to both enzyme-triphosphopyridine nucleotide (E-TPN) and enzyme-reduced triphosphopyridine nucleotide (E-TPNH), but only malate analogues prevent release of TPN, while pyruvate analogues prevent release of TPNH. Ketomalonate and oxalacetate, both of which are slowly reduced by the enzyme in the presence of TPNH and thus must combine in the keto form with E-TPNH,, appear to combine with E-TPN mainly in the gem-diol (or for oxalacetate, also the enol) form. The substrate for the decarboxylation of oxalacetate at pH 4.5 is the keto form.",77SCH/CLE,10.1021/bi00623a001,77SCH/CLE_151
66,836793,,1977,"Schirch L V, Tatum C M, Benkovic S J","Initial velocity patterns in the presence of product and dead-end inhibitors suggest that in reaction 1 the addition of substrates and release of products occur by a sequential random mechanism: L-serine + tetrahydrofolate in equilibrium glycine + 5,10-methylenetetrahydrofolate. This interpretation is supported by equilibrium isotope-exchange studies. The relative maximum rates of exchange of L-serine in equilibrium glycine and L-serine in equilibrium 5,10-methylenetetrahydrofolate in reaction 1 were not inhibited by high levels of substrates. The relative rates of these two exchange reactions were similar but were not identical. These results suggest that the catalytic interconversion and dissociation of substrates are of the same order of magnitude. Reaction 1 represents the transfer of a one-carbon group from the third carbon of L-serine to tetrahydrofolate. Inhibition studies showed that abortive enzyme ternary complexes are formed with L-serine and tetrahydrofolate compounds, which also contain a one-carbon group, e.g., 5-methyltetrahydrofolate and 5,10-methylenetetrahydrofolate. This suggests that the one-carbon binding site can accomodate two one-carbon groups simultaneously without serious steric hindrance.",77SCH/TAT,10.1021/bi00622a011,77SCH/TAT_350
67,186456,,1976,Guynn R W,"The observed equilibrium constants (Kobs) of the P-choline hydrolysis reaction have been determined under physiological conditions of temperature (38 degrees) and ionic strength (0.25 M) and physiological ranges of pH and free [Mg2+]. Using sigma and square brackets to indicate total concentrations: (see article.) The value of Kobs has been found to be relatively insensitive to variations in pH and free [Mg2+]. At pH 7.0 and taking the standard state of liquid water to have unit activity ([H2O] = 1), Kobs = 26.6 M at free [Mg2+] = 0 [epsilon G0obs = -2.03 kcal/mol(-8.48 kJ/mol)], 26.8 M at free [Mg2+] = 10(-3) M, and 28.4 M at free [Mg2+] = 10(-2) M. At pH 8.0, Kobs = 18.8 M at free [Mg2+] = 0, 19.2 M at free [Mg2+] = 10(-3), and 22.2 M at free [Mg2+] = 10(-2) M. These values apply only to situations where choline and Pi concentrations are both relatively low (such as the conditions found in most tissues). At higher concentrations of phosphate and choline, the value of Kobs becomes significantly increased since HPO42- complexes choline weakly (association constant = 3.3 M-1). The value of K at 38 degrees and I = 0.25 M is calculated to be 16.4 +/- 0.3 M [epsilonG0 = 1.73 kcal/mol (-7.23 kJ/mol)]. The K for the P-choline hydrolysis reaction has been combined with the K for the ATP hydrolysis reaction determined previously under physiological conditions to calculate a value of 4.95 X 10(-3 M [deltaG0 j.28 kcal/mol (13.7 kJ/mol] for the K of the choline kinase reaction (EC 2.7.1.32), an important step in phospholipid metabolism: (see article.) Likewise, values for Kobs for the choline kinase reaction at 38 degrees, pH 7.0, and I = 0.25 M have been calculated to be 5.76 X 10(4) [deltaG0OBS = -6.77 KCAL/MOL (-28.3 KJ/mol)] at [Mg2+] = 0; 1.24 X  10(4) [deltaG0obs = -5.82 kcal/mol (-24.4 kJ/mol)] at [Mg2+] = 10(-3) M and 8.05 X 10(3) [delta G0obs = -5.56 kcal/mol (-23.3 kJ/mol)] at [Mg2+ = 10(-2) M. Attempts to determine the Kobs of the choline kinase reaction directly were unsuccessful because of the high value of the constant. The results indicate that in contrast to the high deltaG0obs for the hydrolysis of the ester bond of acetylcholine, the deltaG0obs for the hydrolysis of the ester bond of P-choline is quite low, among the lowest known for phosphate ester bonds of biological interest.",76GUY,,76GUY_807
68,186451,,1976,"Rao B D, Buttlaire D H, Cohn M","The arginine kinase reaction, the reversible transfer of the terminal phosphoryl group of ATP to L-arginine, has been investigated by the technique of 31P NMR at catalytic and stoichiometric concentrations of the enzyme. Three of the four substrates, ATP, ADP, and P-arginine produce easily distinguishable resonances in the 31P NMR spectrum, thus permitting a determination of equilibrium constants from the integrated areas of the resonances. From the linewidths, the exchange rates between reactants and products may be evaluated. At pH 7.25 and a temperature of 12 degrees, the equilibrium constant at catalytic enzyme concentration: Keq = [MgADP] [P-arginine]/[MgATP] [L-arginine], is found to be 0.10 +/- 0.02 and that at stoichiometric enzyme concentration: K'eq = [E-MgADP] [E-P-arginine]/[E-MgATP] [E-arginine] to be 1.56 +/- 0.5. Thus, as the enzyme concentration increased, the production of P-arginine is increasingly favored. From the NMR line shapes in the presence of excess enzyme, the rate of the single step, the transfer of the phosphoryl group on the surface of the enzyme is found to be 192 +/- 15 s-1 in the forward direction, i.e. from E-MgATP, and 154 +/- 15 s-1 in the reverse direction from E-P-argine. At 12 degrees and pH 7.25, the rate of the overall reaction in the forward direction was determined from kinetic measurements to be 19 s-1, an order of magnitude slower than the rate measured by NMR. It can, therefore, be concluded that the interconversion of substrates on the surface of the enzyme is not the rate-determining step in the overal reaction. From the equilibrium constants and other known data the dissociation constant of P-arginine from its enzyme complex can be determined and is found to be 100 muM.",76RAO/BUT,,76RAO/BUT_618
69,12947,,1976,"Ruschig U, Müller U, Willnow P, Höpner T","The direct reduction of CO2 to formate is catalysed by formate: NAD oxidoreductase in the presence of substrate amounts of NADH. Proof for this reaction is supplied by the detection of a CO2-dependent NADH oxidation, and by the identification of [14c] formate as the product of a NADH-dependent reduction of [14c]carbonate. The enzyme-catalysed CO2 reduction by NADH attains the equilibrium predicted by thermodynamic considerations, a state which is also reached from the formate side. The Michaelis constant for CO2 is about 40 mM indicating the low affinity of the enzyme for this substrate. The corresponding value for formate is 0.1 mM. Under the special conditions employed the enzyme catalyses the formate oxidation about 30 times faster than the CO2 reduction. That CO2 and not HCO3- is the active species in the reduction was shown by comparing the ph dependency of the velocities of the forward and back reactions and by observing the kinetics of CO2 reduction during the simultaneous attainment of the CO2-HCO3- equilibrium.",76RUS/MUL,10.1111/j.1432-1033.1976.tb11021.x,76RUS/MUL_237
