,Enzyme:,Reaction:,Reference:,Reference ID:,PMID,DOI,T [K],pH,Keq,Km',Experimental conditions,Ionic strength [molal],Enthalpy [kJ/mol],solutes [mol/dm^3],Buffer:,-log[Mg+2],EC Value:,Method:,Ionic strength [mol/dm^3],solutes [molal]
784, L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq),Hakala M.T.; Glaid A.J.; Schwert G.W.; J. Biol. Chem.; 221 191 (1956).,56HAK/GLA_100,13345810,,298.15,6.80, , , , , , , sodium phosphate (0.05 mol dm-3), ,1.1.1.27, spectrophotometry, , 
785, L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq),Hakala M.T.; Glaid A.J.; Schwert G.W.; J. Biol. Chem.; 221 191 (1956).,56HAK/GLA_100,13345810,,308.15,6.80, , , , , , , sodium phosphate (0.05 mol dm-3), ,1.1.1.27, spectrophotometry, , 
786, butyryl-CoA dehydrogenase, butanoyl-CoA(aq) + pyocyanine(aq) = 2-butenoyl-CoA(aq) + reduced pyocyanine(aq),Hauge J.G.; J. Am. Chem. Soc.; 78 5266 (1956).,56HAU_265, , ,303.15,7.2, , , , , , , phosphate (0.02 mol dm-3), ,1.3.99.2, spectrophotometry, , 
787, retinal isomerase, all-trans-retinal(aq) = 11-cis-retinal(aq),Hubbard R.; J. Gen. Physiol.; 39 935 (1956).,56HUB_1279, , ,309.15,7.0, , , , , , , phosphate, ,5.2.1.3, spectrophotometry, , 
788, ribulose-phosphate 3-epimerase, D-ribulose 5-phosphate(aq) = D-xylulose 5-phosphate(aq),Hurwitz J.; Horecker B.L.; J. Biol. Chem.; 223 993 (1956).,56HUR/HOR_1244,13385247,,298.15,7.5, , , , , , , Tris (0.078 mol dm-3), ,5.1.3.1, enzymatic assay and spectrophotometry, , 
789, L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq),Kaplan N.O.; Ciotti M.M.; Stolzenbach F.E.; J. Biol. Chem.; 221 833 (1956).,56KAP/CIO_101, , ,303.15,9.0, , , , , , , phosphate (0.1 mol dm-3), ,1.1.1.27, spectrophotometry, , 
790, L-lactate dehydrogenase, (S)-lactate(aq) + AP-NAD(aq)= pyruvate(aq) + AP-NADH(aq),Kaplan N.O.; Ciotti M.M.; Stolzenbach F.E.; J. Biol. Chem.; 221 833 (1956).,56KAP/CIO_110, , ,303.15,9.0, , , , , , , phosphate (0.1 mol dm-3), ,1.1.1.27, spectrophotometry, , 
791, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Kaplan N.O.; Ciotti M.M.; Stolzenbach F.E.; J. Biol. Chem.; 221 833 (1956).,56KAP/CIO_13, , ,303.15,7.00, , , , , , , phosphate (0.1 mol dm-3), ,1.1.1.1, spectrophotometry, , 
792, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Kaplan N.O.; Ciotti M.M.; Stolzenbach F.E.; J. Biol. Chem.; 221 833 (1956).,56KAP/CIO_13, , ,303.15,8.00, , , , , , , phosphate (0.1 mol dm-3), ,1.1.1.1, spectrophotometry, , 
793, alcohol dehydrogenase, ethanol(aq) + AP-NAD(aq) = acetaldehyde(aq) + AP-NADH(aq),Kaplan N.O.; Ciotti M.M.; Stolzenbach F.E.; J. Biol. Chem.; 221 833 (1956).,56KAP/CIO_22, , ,303.15,7.00, , , , , , , phosphate (0.1 mol dm-3), ,1.1.1.1, spectrophotometry, , 
794, alcohol dehydrogenase, ethanol(aq) + AP-NAD(aq) = acetaldehyde(aq) + AP-NADH(aq),Kaplan N.O.; Ciotti M.M.; Stolzenbach F.E.; J. Biol. Chem.; 221 833 (1956).,56KAP/CIO_22, , ,303.15,8.00, , , , , , , phosphate (0.1 mol dm-3), ,1.1.1.1, spectrophotometry, , 
795, glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq),Kaplan N.O.; Ciotti M.M.; Stolzenbach F.E.; J. Biol. Chem.; 221 833 (1956).,56KAP/CIO_275, , ,303.15,7.6,2.43E-6, , , , , , phosphate (0.05 mol dm-3), ,1.4.1.2, spectrophotometry, , 
796, glutamate dehydrogenase, L-glutamate(aq) + AP-NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + AP-NADH(aq) + ammonia(aq),Kaplan N.O.; Ciotti M.M.; Stolzenbach F.E.; J. Biol. Chem.; 221 833 (1956).,56KAP/CIO_278,13357478,,303.15,7.6,2.2E-3, , , , , , phosphate (0.05 mol dm-3), ,1.4.1.2, spectrophotometry, , 
797, ribulose-biphosphate carboxylase," D-ribulose 1,5-biphosphate(aq) + carbon dioxide(aq) = 2 3-phospho-D-glycerate(aq)",Kitzinger C.; Horecker B.L.; Weisbach A; Abstr. 20th Int. Physiol. Congress Brussels (1956).,56KIT/HOR_1085, , ,298.15,8.0, , , , ,-43.1, , Tris (0.1 mol dm-3) + HCl and triethanolamine, ,4.1.1.39, microcalorimetry, , 
798, ribulose-biphosphate carboxylase," D-ribulose 1,5-biphosphate(aq) + carbon dioxide(aq) = 2 3-phospho-D-glycerate(aq)",Kitzinger C.; Horecker B.L.; Weisbach A; Abstr. 20th Int. Physiol. Congress Brussels (1956).,56KIT/HOR_1085, , ,298.15,8.0, , , , ,-61.1, , Tris (0.1 mol dm-3) + HCl and triethanolamine + Tris + HCl, ,4.1.1.39, microcalorimetry, , 
799, myo-inositol 2-dehydrogenase, myo-inositol(aq) + NAD(aq) = 2-oxo-myo-inositol(aq) + NADH(aq),Larner J.; Jackson W.T.; Graves D.J.; Stamer J.R.; Arch. Biochem. Biophys.; 60 352 (1956).,56LAR/JAC_77,13292912,10.1016/0003-9861(56)90437-4,303.15,8.11, , , , , , , pyrophosphate (0.01 mol dm-3), ,1.1.1.18, spectrophotometry, , 
800, myo-inositol 2-dehydrogenase, myo-inositol(aq) + NAD(aq) = 2-oxo-myo-inositol(aq) + NADH(aq),Larner J.; Jackson W.T.; Graves D.J.; Stamer J.R.; Arch. Biochem. Biophys.; 60 352 (1956).,56LAR/JAC_77,13292912,10.1016/0003-9861(56)90437-4,303.15,8.12, , , , , , , pyrophosphate (0.01 mol dm-3), ,1.1.1.18, spectrophotometry, , 
801, myo-inositol 2-dehydrogenase, myo-inositol(aq) + NAD(aq) = 2-oxo-myo-inositol(aq) + NADH(aq),Larner J.; Jackson W.T.; Graves D.J.; Stamer J.R.; Arch. Biochem. Biophys.; 60 352 (1956).,56LAR/JAC_77,13292912,10.1016/0003-9861(56)90437-4,303.15,8.67, , , , , , , pyrophosphate (0.01 mol dm-3), ,1.1.1.18, spectrophotometry, , 
802, myo-inositol 2-dehydrogenase, myo-inositol(aq) + NAD(aq) = 2-oxo-myo-inositol(aq) + NADH(aq),Larner J.; Jackson W.T.; Graves D.J.; Stamer J.R.; Arch. Biochem. Biophys.; 60 352 (1956).,56LAR/JAC_77,13292912,10.1016/0003-9861(56)90437-4,303.15,8.75, , , , , , , pyrophosphate (0.01 mol dm-3), ,1.1.1.18, spectrophotometry, , 
803, myo-inositol 2-dehydrogenase, myo-inositol(aq) + NAD(aq) = 2-oxo-myo-inositol(aq) + NADH(aq),Larner J.; Jackson W.T.; Graves D.J.; Stamer J.R.; Arch. Biochem. Biophys.; 60 352 (1956).,56LAR/JAC_77,13292912,10.1016/0003-9861(56)90437-4,303.15,8.92, , , , , , , pyrophosphate (0.01 mol dm-3), ,1.1.1.18, spectrophotometry, , 
804, glucosamine-6-phosphate isomerase, D-glucosamine 6-phosphate(aq) + H2O(l) = D-fructose 6-phosphate(aq) + ammonia(aq),Leloir L.F.; Cardini C.E.; Biochim. Biophys. Acta; 20 33 (1956).,56LEL/CAR_1366, , ,310.15,8.4,0.15, , , , , , Tris (0.4 mol dm-3), ,5.3.1.10, , , 
805, mannose isomerase, D-lyxose(aq) = D-xylulose(aq),Palleroni N.J.; Doudoroff M.; J. Biol. Chem.; 218 535 (1956).,56PAL/DOU_1340, , ,303.15,7.4, , , , , , , Tris (0.1 mol dm-3) + HCl, ,5.3.1.7, chemical analysis and spectrophotometry, , 
806, mannose isomerase, D-mannose(aq) = D-fructose(aq),Palleroni N.J.; Doudoroff M.; J. Biol. Chem.; 218 535 (1956).,56PAL/DOU_1341, , ,303.15,7.4, , , , , , , Tris (0.1 mol dm-3) + HCl, ,5.3.1.7, chemical analysis and spectrophotometry, , 
807, mannose isomerase, D-rhamnose(aq) = D-rhamnulose(aq),Palleroni N.J.; Doudoroff M.; J. Biol. Chem.; 218 535 (1956).,56PAL/DOU_1344,13278359,,303.15,7.4, , , , , , , Tris (0.1 mol dm-3) + HCl, ,5.3.1.7., chemical analysis and spectrophotometry, , 
808, myosin ATPase, ITP(aq) + H2O(l) = IDP(aq) + orthophosphate(aq),Podolsky R.J.; Morales M.F.; J. Biol. Chem.; 218 945 (1956).,56POD/MOR_1078,13295245,,293.15,8.0, , , , ,-68.6, , Tris, ,3.6.1.32, calorimetry, , 
809, glycine formiminotransferase, 5-formiminotetrahydrofolate(aq) + glycine(aq) = N-formiminoglycine(aq) + tetrahydrofolate(aq),Rabinowitz J.C.; Pricer W.E.; J. Am. Chem. Soc.; 78 4176 (1956).,56RAB/PRI_353, , ,310.15,7.0, , , , , , , potassium maleate, ,2.1.2.4, spectrophotometry, , 
810, glucose-6-phosphate isomerase, D-glucose 6-phosphate(aq) = D-fructose 6-phosphate(aq),Ramasarma T.; Giri K.V.; Arch. Biochem. Biophys.; 62 91 (1956).,56RAM/GIR_1352,13314642,10.1016/0003-9861(56)90091-1,310.15,~7.65, , , , , , , barbital (0.02 mol dm-3), ,5.3.1.9, chemical analysis, , 
811, glycine amidinotransferase, L-arginine(aq) + glycine(aq) = L-ornithine(aq) + guanidinoacetate(aq),Ratner S.; Rochovansky O.; Arch. Biochem. Biophys.; 63 277 (1956).,56RAT/ROC_364,13355454,10.1016/0003-9861(56)90044-3,311.15,7.5, , , , , , , phosphate (0.067 mol dm-3), ,2.1.4.1, spectrophotometry, , 
812, phosphoacetylglucosamine mutase, N-acetyl-D-glucosamine 1-phosphate(aq) = N-acetyl-D-glucosamine 6-phosphate(aq),Reissig J.L.; J. Biol. Chem.; 219 753 (1956).,56REI_1407,13319297,,310.15,7.7, , , , , , , Tris (0.033 mol dm-3) + acetate, ,5.4.2.3, spectrophotometry, , 
813, isocitrate lyase, isocitrate(aq) = succinate(aq) + glyoxylate(aq),Smith R.A.; Stamer J.R.; Gunslaus I.C.; Biochim. Biophys. Acta; 19 567 (1956).,56SMI/STA_1113, , ,300.15,7.6,0.029, , , , , , Tris (0.05 mol dm-3), ,4.1.3.1, chemical analysis and enzymatic assay, , 
814, citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),Smith R.A.; Stamer J.R.; Gunslaus I.C.; Biochim. Biophys. Acta; 19 567 (1956).,56SMI/STA_1124, , ,300.15,7.6,0.64, , , , , , Tris (0.05 mol dm-3), ,4.1.3.6, chemical analysis, , 
815, 3-oxoacid CoA-transferase, succinyl-CoA(aq) + acetoacetate(aq) = succinate(aq) + acetoacetyl-CoA(aq),Stern J.R.; Coon M.J.; del Campillo A.; Schneider M.C.; J. Biol. Chem.; 221 15 (1956).,56STE/COO_719,13345795,,303.15,7.00, , , , , , , Tris and glycine + Tris (0.10 mol dm-3), ,2.8.3.5, spectrophotometry, , 
816, 3-oxoacid CoA-transferase, succinyl-CoA(aq) + acetoacetate(aq) = succinate(aq) + acetoacetyl-CoA(aq),Stern J.R.; Coon M.J.; del Campillo A.; Schneider M.C.; J. Biol. Chem.; 221 15 (1956).,56STE/COO_719,13345795,,303.15,7.00, , , , , , , Tris and glycine + Tris (0.10 mol dm-3), ,2.8.3.5, spectrophotometry, , 
817, 3-oxoacid CoA-transferase, succinyl-CoA(aq) + acetoacetate(aq) = succinate(aq) + acetoacetyl-CoA(aq),Stern J.R.; Coon M.J.; del Campillo A.; Schneider M.C.; J. Biol. Chem.; 221 15 (1956).,56STE/COO_719,13345795,,303.15,7.50, , , , , , , Tris and glycine + Tris (0.10 mol dm-3), ,2.8.3.5, spectrophotometry, , 
818, 3-oxoacid CoA-transferase, succinyl-CoA(aq) + acetoacetate(aq) = succinate(aq) + acetoacetyl-CoA(aq),Stern J.R.; Coon M.J.; del Campillo A.; Schneider M.C.; J. Biol. Chem.; 221 15 (1956).,56STE/COO_719,13345795,,303.15,7.50, , , , , , , Tris and glycine + Tris (0.10 mol dm-3), ,2.8.3.5, spectrophotometry, , 
819, 3-oxoacid CoA-transferase, succinyl-CoA(aq) + acetoacetate(aq) = succinate(aq) + acetoacetyl-CoA(aq),Stern J.R.; Coon M.J.; del Campillo A.; Schneider M.C.; J. Biol. Chem.; 221 15 (1956).,56STE/COO_719,13345795,,303.15,8.10, , , , , , , Tris and glycine + Tris (0.10 mol dm-3), ,2.8.3.5, spectrophotometry, , 
820, 3-oxoacid CoA-transferase, succinyl-CoA(aq) + acetoacetate(aq) = succinate(aq) + acetoacetyl-CoA(aq),Stern J.R.; Coon M.J.; del Campillo A.; Schneider M.C.; J. Biol. Chem.; 221 15 (1956).,56STE/COO_719,13345795,,303.15,8.10, , , , , , , Tris and glycine + Tris (0.10 mol dm-3), ,2.8.3.5, spectrophotometry, , 
821, 3-oxoacid CoA-transferase, succinyl-CoA(aq) + acetoacetate(aq) = succinate(aq) + acetoacetyl-CoA(aq),Stern J.R.; Coon M.J.; del Campillo A.; Schneider M.C.; J. Biol. Chem.; 221 15 (1956).,56STE/COO_719,13345795,,303.15,9.20, , , , , , , Tris and glycine + glycine (0.1 mol dm-3), ,2.8.3.5, spectrophotometry, , 
822, 3-oxoacid CoA-transferase, succinyl-CoA(aq) + acetoacetate(aq) = succinate(aq) + acetoacetyl-CoA(aq),Stern J.R.; Coon M.J.; del Campillo A.; Schneider M.C.; J. Biol. Chem.; 221 15 (1956).,56STE/COO_719,13345795,,303.15,9.20, , , , , , , Tris and glycine + glycine (0.1 mol dm-3), ,2.8.3.5, spectrophotometry, , 
823, enoyl-CoA hydratase, (3R)-3-hydroxybutanoyl-CoA(aq) = cis-but-2-enoyl-CoA(aq) + H2O(l),Stern J.R.; del Campillo A.; J. Biol. Chem.; 218 985 (1956).,56STE/DEL_1175, , ,298.15,7.5, , , , , , , Tris, ,4.2.1.17, spectrophotometry, , 
824, enoyl-CoA hydratase, (3S)-3-hydroxybutanoyl-CoA(aq) = trans-but-2-enoyl-CoA(aq) + H2O(l),Stern J.R.; del Campillo A.; J. Biol. Chem.; 218 985 (1956).,56STE/DEL_1176, , ,298.15,7.5, , , , , , , Tris, ,4.2.1.17, spectrophotometry, , 
825, enoyl-CoA hydratase, (3R)-3-hydroxyhexanoyl-CoA(aq) = cis-hex-2-enoyl-CoA(aq) + H2O(l),Stern J.R.; del Campillo A.; J. Biol. Chem.; 218 985 (1956).,56STE/DEL_1177, , ,298.15,7.5, , , , , , , Tris, ,4.2.1.17, spectrophotometry, , 
826, enoyl-CoA hydratase, (3S)-3-hydroxyhexanoyl-CoA(aq) = trans-hex-2-enoyl-CoA(aq) + H2O(l),Stern J.R.; del Campillo A.; J. Biol. Chem.; 218 985 (1956).,56STE/DEL_1178,13295248,,298.15,7.5, , , , , , , Tris, ,4.2.1.17, spectrophotometry, , 
827, 3-oxoacid CoA-transferase, succinyl-CoA(aq) + acetoacetate(aq) = succinate(aq) + acetoacetyl-CoA(aq),Stern J.R.; J. Biol. Chem.; 221 33 (1956).,56STE_720,13345796,,303.15,7.00, , , , , , , Tris (0.067 mol dm-3) + HCl + Tris (0.10 mol dm-3), ,2.8.3.5, spectrophotometry, , 
828, 3-oxoacid CoA-transferase, succinyl-CoA(aq) + acetoacetate(aq) = succinate(aq) + acetoacetyl-CoA(aq),Stern J.R.; J. Biol. Chem.; 221 33 (1956).,56STE_720,13345796,,303.15,7.00, , , , , , , Tris (0.067 mol dm-3) + HCl + Tris (0.10 mol dm-3), ,2.8.3.5, spectrophotometry, , 
829, 3-oxoacid CoA-transferase, succinyl-CoA(aq) + acetoacetate(aq) = succinate(aq) + acetoacetyl-CoA(aq),Stern J.R.; J. Biol. Chem.; 221 33 (1956).,56STE_720,13345796,,303.15,7.50, , , , , , , Tris (0.067 mol dm-3) + HCl + Tris (0.10 mol dm-3), ,2.8.3.5, spectrophotometry, , 
830, 3-oxoacid CoA-transferase, succinyl-CoA(aq) + acetoacetate(aq) = succinate(aq) + acetoacetyl-CoA(aq),Stern J.R.; J. Biol. Chem.; 221 33 (1956).,56STE_720,13345796,,303.15,7.50, , , , , , , Tris (0.067 mol dm-3) + HCl + Tris (0.10 mol dm-3), ,2.8.3.5, spectrophotometry, , 
831, 3-oxoacid CoA-transferase, succinyl-CoA(aq) + acetoacetate(aq) = succinate(aq) + acetoacetyl-CoA(aq),Stern J.R.; J. Biol. Chem.; 221 33 (1956).,56STE_720,13345796,,303.15,8.10, , , , , , , Tris (0.067 mol dm-3) + HCl + Tris (0.10 mol dm-3), ,2.8.3.5, spectrophotometry, , 
832, 3-oxoacid CoA-transferase, succinyl-CoA(aq) + acetoacetate(aq) = succinate(aq) + acetoacetyl-CoA(aq),Stern J.R.; J. Biol. Chem.; 221 33 (1956).,56STE_720,13345796,,303.15,8.10, , , , , , , Tris (0.067 mol dm-3) + HCl + Tris (0.10 mol dm-3), ,2.8.3.5, spectrophotometry, , 
833, 3-oxoacid CoA-transferase, succinyl-CoA(aq) + acetoacetate(aq) = succinate(aq) + acetoacetyl-CoA(aq),Stern J.R.; J. Biol. Chem.; 221 33 (1956).,56STE_720,13345796,,303.15,9.20, , , , , , , Tris (0.067 mol dm-3) + HCl + glycine (0.1 mol dm-3), ,2.8.3.5, spectrophotometry, , 
834, 3-oxoacid CoA-transferase, succinyl-CoA(aq) + acetoacetate(aq) = succinate(aq) + acetoacetyl-CoA(aq),Stern J.R.; J. Biol. Chem.; 221 33 (1956).,56STE_720,13345796,,303.15,9.20, , , , , , , Tris (0.067 mol dm-3) + HCl + glycine (0.1 mol dm-3), ,2.8.3.5, spectrophotometry, , 
835, ribulose-phosphate 3-epimerase, D-ribulose 5-phosphate(aq) = D-xylulose 5-phosphate(aq),Stumpf P.K.; Horecker B.L.; J. Biol. Chem.; 218 753 (1956).,56STU/HOR_1245,13295228,,310.15,7.5, , , , , , , Tris (0.025 mol dm-3), ,5.1.3.1, spectrophotometry, , 
836, 3a-hydroxysteroid dehydrogenase," 5Î±-androstane-3Î±-ol-17-one(aq) + NAD(aq) = 5Î±-androstane-3,17-dione(aq) + NADH(aq)",Talalay P.; Marcus P.I.; J. Biol. Chem.; 218 675 (1956).,56TAL/MAR_166, , ,298.15,6.0, , , , , , , orthophosphate (0.033 mol dm-3) and pyrophosphate (0.033 mol dm-3), ,1.1.1.50, spectrophotometry, , 
837, 3a-hydroxysteroid dehydrogenase," 5Î±-androstane-3Î±-ol-17-one(aq) + NAD(aq) = 5Î±-androstane-3,17-dione(aq) + NADH(aq)",Talalay P.; Marcus P.I.; J. Biol. Chem.; 218 675 (1956).,56TAL/MAR_166, , ,298.15,7.0, , , , , , , orthophosphate (0.033 mol dm-3) and pyrophosphate (0.033 mol dm-3), ,1.1.1.50, spectrophotometry, , 
838, 3a-hydroxysteroid dehydrogenase," 5Î±-androstane-3Î±-ol-17-one(aq) + NAD(aq) = 5Î±-androstane-3,17-dione(aq) + NADH(aq)",Talalay P.; Marcus P.I.; J. Biol. Chem.; 218 675 (1956).,56TAL/MAR_166, , ,298.15,8.0, , , , , , , orthophosphate (0.033 mol dm-3) and pyrophosphate (0.033 mol dm-3), ,1.1.1.50, spectrophotometry, , 
839, 3a-hydroxysteroid dehydrogenase," 5Î±-androstane-3Î±-ol-17-one(aq) + NAD(aq) = 5Î±-androstane-3,17-dione(aq) + NADH(aq)",Talalay P.; Marcus P.I.; J. Biol. Chem.; 218 675 (1956).,56TAL/MAR_166, , ,298.15,9.0, , , , , , , orthophosphate (0.033 mol dm-3) and pyrophosphate (0.033 mol dm-3), ,1.1.1.50, spectrophotometry, , 
840, 3(or 17)_-hydroxysteroid dehydrogenase," 4-androstene-17Î²-ol-3-one(aq) + NAD(aq) = 4-androstene-3,17-dione(aq) + NADH(aq)",Talalay P.; Marcus P.I.; J. Biol. Chem.; 218 675 (1956).,56TAL/MAR_179,13295222,,298.15,6.0, , , , , , , orthophosphate (0.033 mol dm-3) and pyrophosphate (0.033 mol dm-3), ,1.1.1.51, spectrophotometry, , 
841, 3(or 17)_-hydroxysteroid dehydrogenase," 4-androstene-17Î²-ol-3-one(aq) + NAD(aq) = 4-androstene-3,17-dione(aq) + NADH(aq)",Talalay P.; Marcus P.I.; J. Biol. Chem.; 218 675 (1956).,56TAL/MAR_179,13295222,,298.15,7.0, , , , , , , orthophosphate (0.033 mol dm-3) and pyrophosphate (0.033 mol dm-3), ,1.1.1.51, spectrophotometry, , 
842, 3(or 17)_-hydroxysteroid dehydrogenase," 4-androstene-17Î²-ol-3-one(aq) + NAD(aq) = 4-androstene-3,17-dione(aq) + NADH(aq)",Talalay P.; Marcus P.I.; J. Biol. Chem.; 218 675 (1956).,56TAL/MAR_179,13295222,,298.15,8.0, , , , , , , orthophosphate (0.033 mol dm-3) and pyrophosphate (0.033 mol dm-3), ,1.1.1.51, spectrophotometry, , 
843, 3(or 17)_-hydroxysteroid dehydrogenase," 4-androstene-17Î²-ol-3-one(aq) + NAD(aq) = 4-androstene-3,17-dione(aq) + NADH(aq)",Talalay P.; Marcus P.I.; J. Biol. Chem.; 218 675 (1956).,56TAL/MAR_179,13295222,,298.15,9.0, , , , , , , orthophosphate (0.033 mol dm-3) and pyrophosphate (0.033 mol dm-3), ,1.1.1.51, spectrophotometry, , 
844, 3a-hydroxysteroid dehydrogenase," 5Î²-pregnane-3Î±,17Î±,21-triol-11,20-dione(aq) + NAD(aq) = 5Î²-pregnane-17Î±,21-diol-3,11,20-trione(aq) + NADH(aq)",Tomkins G.M.; J. Biol. Chem.; 218 437 (1956).,56TOM_173,13278351,,298.15,7.0, , , , , , , phosphate (0.020 mol dm-3), ,1.1.1.50, spectrophotometry, , 
845, 3a-hydroxysteroid dehydrogenase," 5Î²-pregnane-3Î±,17Î±,21-triol-11,20-dione(aq) + NAD(aq) = 5Î²-pregnane-17Î±,21-diol-3,11,20-trione(aq) + NADH(aq)",Tomkins G.M.; J. Biol. Chem.; 218 437 (1956).,56TOM_173,13278351,,298.15,7.8, , , , , , , phosphate (0.020 mol dm-3), ,1.1.1.50, spectrophotometry, , 
846, mannitol-1-phosphate dehydrogenase, D-mannitol 1-phosphate(aq) + NAD(aq) = D-fructose 6-phosphate(aq) + NADH(aq),Wolff J.B.; Kaplan N.O.; J. Biol. Chem.; 218 849 (1956).,56WOL/KAP_76,13295236,,296.15,7.0, , , , , , , , ,1.1.1.17, chemical analysis and spectrophotometry, , 
847, ribulose-phosphate 3-epimerase, D-ribulose 5-phosphate(aq) = D-xylulose 5-phosphate(aq),Ashwell G.; Hickman J.; J. Biol. Chem.; 226 65 (1957).,57ASH/HIC_1246,13428737,,310.15,7.5, , , , , , , imidazole (0.01 mol dm-3), ,5.1.3.1, spectrophotometry, , 
848, L-ribulose-phosphate 4-epimerase, L-ribulose 5-phosphate(aq) = D-xylulose 5-phosphate(aq),Burma D.P.; Horecker B.L.; Biochim. Biophys. Acta; 24 660 (1957).,57BUR/HOR_1263, , ,308.15,7.0, , , , , , , Tris (0.2 mol dm-3), ,5.1.3.4, enzymatic assay, , 
849, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),Callaghan O.H.; Biochem. J.; 67 651 (1957).,57CAL_638,13488919,10.1042/bj0670651,303.15,6.12, , , , , , , 2-amino 2-hydroxymethylpropane-13 diol (0.075 mol dm-3), ,2.7.4.3, chromatography, , 
850, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),Callaghan O.H.; Biochem. J.; 67 651 (1957).,57CAL_638,13488919,10.1042/bj0670651,303.15,6.81, , , , , , , 2-amino 2-hydroxymethylpropane-13 diol (0.075 mol dm-3), ,2.7.4.3, chromatography, , 
851, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),Callaghan O.H.; Biochem. J.; 67 651 (1957).,57CAL_638,13488919,10.1042/bj0670651,303.15,7.50, , , , , , , 2-amino 2-hydroxymethylpropane-13 diol (0.075 mol dm-3), ,2.7.4.3, chromatography, , 
852, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),Callaghan O.H.; Biochem. J.; 67 651 (1957).,57CAL_638,13488919,10.1042/bj0670651,303.15,7.88, , , , , , , 2-amino 2-hydroxymethylpropane-13 diol (0.075 mol dm-3), ,2.7.4.3, chromatography, , 
853, thetin-homocysteine S-methyltransferase, dimethylacetothetin(aq) + L-homocysteine(aq) = S-methylthioglycolate(aq) + L-methionine(aq),Durell J.; Sturtevant J.M.; Biochim. Biophys. Acta; 26 282 (1957).,57DUR/STU_339, , ,298.15,7.1, , , , ,-57.7, , phosphate (0.034 mol dm-3), ,2.1.1.3, calorimetry, , 
854, adenine phosphoribosyltransferase, 5-amino-4-imidazolecarboxamide(aq) + 5-phospho-Î±-D-ribose 1-diphosphate(aq) = 5-amino-1-Î²-D-ribosyl-4-imidazolecarboxamide 5'-phosphate(aq) + pyrophosphate(aq),Flaks J.G.; Erwin M.J.; Buchanan J.M.; J. Biol. Chem.; 228 201 (1957).,57FLA/ERW_476,13475309,,311.15,8.0, , , , , , , Tris (0.1 mol dm-3) + HCl, ,2.4.2.7, spectrophotometry, , 
855, aryl sulfotransferase," 3,5-dinitrophenol(aq) + 3'-phosphoadenylylsulfate(aq) = 3,5-dinitrophenolsulfate(aq) + adenosine 3',5'-biphosphate(aq)",Gregory J.D.; Lipmann F.; J. Biol. Chem.; 229 1081 (1957).,57GRE/LIP_715, , ,303.15,7.8, , , , , , , Tris (0.11 mol dm-3) + HCl, ,2.8.2.1, spectrophotometry, , 
856, aryl sulfotransferase," 4-nitrophenol(aq) + 3'-phosphoadenylylsulfate(aq) = 4-nitrophenol sulfate(aq) + adenosine 3',5'-biphosphate(aq)",Gregory J.D.; Lipmann F.; J. Biol. Chem.; 229 1081 (1957).,57GRE/LIP_716,13502367,,303.15,7.8, , , , , , , Tris (0.11 mol dm-3) + HCl, ,2.8.2.1, spectrophotometry, , 
857, L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq),Hohorst H.J.; Biochem. Z.; 328 509 (1957).,57HOH_102,13426146,,298.15,9.5, , , , , , , glycine + NaOH, ,1.1.1.27, spectrophotometry, , 
858, glycerate dehydrogenase, (R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq),Holzer H.; Holldorf A.; Biochem. Z.; 329 292 (1957).,57HOL/HOL_113,13522707,,296.15,7.0, , , , , , , Tris or diethanolamine, ,1.1.1.29, spectrophotometry, , 
859, glycerate dehydrogenase, (R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq),Holzer H.; Holldorf A.; Biochem. Z.; 329 292 (1957).,57HOL/HOL_113,13522707,,296.15,7.4, , , , , , , Tris or diethanolamine, ,1.1.1.29, spectrophotometry, , 
860, glycerate dehydrogenase, (R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq),Holzer H.; Holldorf A.; Biochem. Z.; 329 292 (1957).,57HOL/HOL_113,13522707,,296.15,7.8, , , , , , , Tris or diethanolamine, ,1.1.1.29, spectrophotometry, , 
